date_time_UTC,latitude_deg,longitude_deg,depth_km,magnitude_value,magnitude_type,region
2025-09-17 18:46:30,32.000,131.900,30,3.5,M,"KYUSHU, JAPAN"
2025-09-17 18:35:30,32.000,131.900,30,3.0,M,"KYUSHU, JAPAN"
2025-09-17 17:25:30,29.600,129.800,0,3.0,M,"RYUKYU ISLANDS, JAPAN"
2025-09-17 13:31:30,29.600,129.800,0,3.3,M,"RYUKYU ISLANDS, JAPAN"
2025-09-17 13:27:30,29.600,129.700,10,3.5,M,"RYUKYU ISLANDS, JAPAN"
2025-09-17 13:12:30,29.600,129.700,10,3.0,M,"RYUKYU ISLANDS, JAPAN"
2025-09-17 13:06:30,29.600,129.700,10,3.4,M,"RYUKYU ISLANDS, JAPAN"
2025-09-17 13:00:28,29.609,129.619,10,4.9,Mw,"RYUKYU ISLANDS, JAPAN"
2025-09-17 12:58:30,29.700,129.600,0,3.3,M,"RYUKYU ISLANDS, JAPAN"
2025-09-17 12:55:06,29.523,129.639,28,4.9,mb,"RYUKYU ISLANDS, JAPAN"
2025-09-17 12:53:28,29.594,129.654,10,4.6,mb,"RYUKYU ISLANDS, JAPAN"
2025-09-17 12:50:30,29.600,129.700,10,3.0,M,"RYUKYU ISLANDS, JAPAN"
2025-09-17 05:46:30,34.600,139.400,10,3.2,M,"NEAR S. COAST OF HONSHU, JAPAN"
2025-09-16 21:33:59,34.486,139.466,10,4.0,M,"NEAR S. COAST OF HONSHU, JAPAN"
2025-09-16 18:45:30,31.500,131.900,20,3.6,M,"KYUSHU, JAPAN"
2025-09-16 14:30:11,27.275,140.310,321,4.0,mb,"BONIN ISLANDS, JAPAN REGION"
2025-09-16 03:18:25,39.444,143.445,3,4.4,mb,"OFF EAST COAST OF HONSHU, JAPAN"
2025-09-16 01:21:30,35.900,140.800,40,3.9,M,"NEAR EAST COAST OF HONSHU, JAPAN"
2025-09-15 19:00:06,37.619,138.969,180,4.4,mb,"NEAR WEST COAST OF HONSHU, JAPAN"
2025-09-15 08:43:30,36.900,141.400,50,4.0,M,"NEAR EAST COAST OF HONSHU, JAPAN"
2025-09-15 06:49:56,36.410,128.640,14,2.0,M,SOUTH KOREA
2025-09-15 06:34:42,36.410,128.640,15,2.3,M,SOUTH KOREA
2025-09-15 04:34:47,38.437,141.987,65,4.4,mb,"NEAR EAST COAST OF HONSHU, JAPAN"
2025-09-15 02:32:30,29.400,129.500,10,3.0,M,"RYUKYU ISLANDS, JAPAN"
