date_time_UTC,Month,latitude_deg,longitude_deg,dist_to_Tokyo_km,depth_km,magnitude_value,magnitude_type,Category,place,region,data_source
2025-09-23 17:08:14,September,28.807,128.678,1282.4,140.0,4.6,mb,moderate,"RYUKYU ISLANDS, JAPAN",RYUKYU ISLANDS,EMSC
2025-09-23 09:46:30,September,36.5,140.7,131.49,60.0,3.8,M,weak,"NEAR EAST COAST OF HONSHU, JAPAN",NEAR EAST COAST OF HONSHU,EMSC
2025-09-22 21:51:33,September,36.375,142.626,278.66,10.0,4.5,mb,moderate,"OFF EAST COAST OF HONSHU, JAPAN",OFF EAST COAST OF HONSHU,EMSC
2025-09-21 17:14:30,September,36.6,141.0,158.88,50.0,3.8,M,weak,"NEAR EAST COAST OF HONSHU, JAPAN",NEAR EAST COAST OF HONSHU,EMSC
2025-09-21 02:32:30,September,36.3,138.0,163.85,10.0,3.0,M,weak,"EASTERN HONSHU, JAPAN",EASTERN HONSHU,EMSC
2025-09-20 21:47:30,September,40.1,141.9,529.98,20.0,4.0,M,moderate,"NEAR EAST COAST OF HONSHU, JAPAN",NEAR EAST COAST OF HONSHU,EMSC
2025-09-20 20:34:30,September,29.6,129.8,1142.28,10.0,3.8,M,weak,"RYUKYU ISLANDS, JAPAN",RYUKYU ISLANDS,EMSC
2025-09-20 14:45:30,September,29.6,129.7,1149.83,0.0,4.2,M,moderate,"RYUKYU ISLANDS, JAPAN",RYUKYU ISLANDS,EMSC
2025-09-20 13:04:30,September,29.6,129.7,1149.83,0.0,3.3,M,weak,"RYUKYU ISLANDS, JAPAN",RYUKYU ISLANDS,EMSC
2025-09-20 12:32:30,September,29.6,129.8,1142.28,10.0,3.4,M,weak,"RYUKYU ISLANDS, JAPAN",RYUKYU ISLANDS,EMSC
2025-09-20 04:46:34,September,24.126,126.301,1814.45,10.0,4.9,mb,moderate,"RYUKYU ISLANDS, JAPAN",RYUKYU ISLANDS,EMSC
2025-09-20 04:02:30,September,29.6,129.7,1149.83,0.0,3.0,M,weak,"RYUKYU ISLANDS, JAPAN",RYUKYU ISLANDS,EMSC
2025-09-19 19:43:34,September,28.07,139.549,845.85,487.0,4.1,mb,moderate,"BONIN ISLANDS, JAPAN REGION",BONIN ISLANDS,EMSC
2025-09-19 18:20:30,September,36.2,141.0,134.76,40.0,3.3,M,weak,"NEAR EAST COAST OF HONSHU, JAPAN",NEAR EAST COAST OF HONSHU,EMSC
2025-09-19 18:18:30,September,36.2,141.0,134.76,40.0,3.2,M,weak,"NEAR EAST COAST OF HONSHU, JAPAN",NEAR EAST COAST OF HONSHU,EMSC
2025-09-19 18:02:15,September,36.194,140.846,122.09,39.0,4.6,mb,moderate,"NEAR EAST COAST OF HONSHU, JAPAN",NEAR EAST COAST OF HONSHU,EMSC
2025-09-19 17:38:38,September,28.001,139.669,853.47,504.0,4.1,mb,moderate,"BONIN ISLANDS, JAPAN REGION",BONIN ISLANDS,EMSC
2025-09-19 14:01:30,September,31.3,129.9,1026.08,10.0,3.2,M,weak,"KYUSHU, JAPAN",KYUSHU,EMSC
2025-09-19 01:53:30,September,29.6,129.7,1149.83,0.0,3.0,M,weak,"RYUKYU ISLANDS, JAPAN",RYUKYU ISLANDS,EMSC
2025-09-19 00:57:30,September,33.9,132.3,699.46,40.0,3.1,M,weak,"SHIKOKU, JAPAN",SHIKOKU,EMSC
2025-09-19 00:19:30,September,29.6,129.8,1142.28,10.0,3.0,M,weak,"RYUKYU ISLANDS, JAPAN",RYUKYU ISLANDS,EMSC
2025-09-19 00:10:30,September,29.8,130.0,1113.31,10.0,3.4,M,weak,"RYUKYU ISLANDS, JAPAN",RYUKYU ISLANDS,EMSC
2025-09-18 23:11:30,September,29.6,129.8,1142.28,0.0,3.5,M,weak,"RYUKYU ISLANDS, JAPAN",RYUKYU ISLANDS,EMSC
2025-09-18 23:07:30,September,29.6,129.9,1134.76,0.0,3.6,M,weak,"RYUKYU ISLANDS, JAPAN",RYUKYU ISLANDS,EMSC
2025-09-18 18:39:19,September,35.486,141.011,124.89,25.0,4.5,mb,moderate,"NEAR EAST COAST OF HONSHU, JAPAN",NEAR EAST COAST OF HONSHU,EMSC
2025-09-18 16:46:30,September,29.6,129.8,1142.28,0.0,3.1,M,weak,"RYUKYU ISLANDS, JAPAN",RYUKYU ISLANDS,EMSC
2025-09-18 15:24:30,September,35.5,139.6,20.13,70.0,3.3,M,weak,"NEAR S. COAST OF HONSHU, JAPAN",NEAR S. COAST OF HONSHU,EMSC
2025-09-18 10:06:30,September,32.0,131.9,823.9,30.0,4.1,M,moderate,"KYUSHU, JAPAN",KYUSHU,EMSC
2025-09-18 02:35:30,September,39.8,141.8,495.93,60.0,3.3,M,weak,"EASTERN HONSHU, JAPAN",EASTERN HONSHU,EMSC
2025-09-17 23:15:30,September,29.6,129.7,1149.83,10.0,3.5,M,weak,"RYUKYU ISLANDS, JAPAN",RYUKYU ISLANDS,EMSC
2025-09-17 18:46:30,September,32.0,131.9,823.9,30.0,3.5,M,weak,"KYUSHU, JAPAN",KYUSHU,EMSC
2025-09-17 18:35:30,September,32.0,131.9,823.9,30.0,3.0,M,weak,"KYUSHU, JAPAN",KYUSHU,EMSC
2025-09-17 17:25:30,September,29.6,129.8,1142.28,0.0,3.0,M,weak,"RYUKYU ISLANDS, JAPAN",RYUKYU ISLANDS,EMSC
2025-09-17 13:31:30,September,29.6,129.8,1142.28,0.0,3.3,M,weak,"RYUKYU ISLANDS, JAPAN",RYUKYU ISLANDS,EMSC
2025-09-17 13:27:30,September,29.6,129.7,1149.83,10.0,3.5,M,weak,"RYUKYU ISLANDS, JAPAN",RYUKYU ISLANDS,EMSC
2025-09-17 13:12:30,September,29.6,129.7,1149.83,10.0,3.0,M,weak,"RYUKYU ISLANDS, JAPAN",RYUKYU ISLANDS,EMSC
2025-09-17 13:06:30,September,29.6,129.7,1149.83,10.0,3.4,M,weak,"RYUKYU ISLANDS, JAPAN",RYUKYU ISLANDS,EMSC
2025-09-17 13:00:28,September,29.609,129.619,1155.34,10.0,4.9,Mw,moderate,"RYUKYU ISLANDS, JAPAN",RYUKYU ISLANDS,EMSC
2025-09-17 12:58:30,September,29.7,129.6,1150.54,0.0,3.3,M,weak,"RYUKYU ISLANDS, JAPAN",RYUKYU ISLANDS,EMSC
2025-09-17 12:55:06,September,29.523,129.639,1159.78,28.0,4.9,mb,moderate,"RYUKYU ISLANDS, JAPAN",RYUKYU ISLANDS,EMSC
2025-09-17 12:53:28,September,29.594,129.654,1153.72,10.0,4.6,mb,moderate,"RYUKYU ISLANDS, JAPAN",RYUKYU ISLANDS,EMSC
2025-09-17 12:50:30,September,29.6,129.7,1149.83,10.0,3.0,M,weak,"RYUKYU ISLANDS, JAPAN",RYUKYU ISLANDS,EMSC
2025-09-17 05:46:30,September,34.6,139.4,121.83,10.0,3.2,M,weak,"NEAR S. COAST OF HONSHU, JAPAN",NEAR S. COAST OF HONSHU,EMSC
2025-09-16 21:33:59,September,34.486,139.466,133.42,10.0,4.0,M,moderate,"NEAR S. COAST OF HONSHU, JAPAN",NEAR S. COAST OF HONSHU,EMSC
2025-09-16 18:45:30,September,31.5,131.9,854.54,20.0,3.6,M,weak,"KYUSHU, JAPAN",KYUSHU,EMSC
2025-09-16 14:30:11,September,27.275,140.31,936.28,321.0,4.0,mb,moderate,"BONIN ISLANDS, JAPAN REGION",BONIN ISLANDS,EMSC
2025-09-16 03:18:25,September,39.444,143.445,535.99,3.0,4.4,mb,moderate,"OFF EAST COAST OF HONSHU, JAPAN",OFF EAST COAST OF HONSHU,EMSC
2025-09-16 01:21:30,September,35.9,140.8,106.67,40.0,3.9,M,weak,"NEAR EAST COAST OF HONSHU, JAPAN",NEAR EAST COAST OF HONSHU,EMSC
2025-09-15 19:00:06,September,37.619,138.969,224.39,180.0,4.4,mb,moderate,"NEAR WEST COAST OF HONSHU, JAPAN",NEAR WEST COAST OF HONSHU,EMSC
2025-09-15 08:43:13,September,36.911,141.613,223.14,35.0,4.0,M,moderate,"NEAR EAST COAST OF HONSHU, JAPAN",NEAR EAST COAST OF HONSHU,EMSC
2025-09-15 04:34:47,September,38.437,141.987,370.42,65.0,4.4,mb,moderate,"NEAR EAST COAST OF HONSHU, JAPAN",NEAR EAST COAST OF HONSHU,EMSC
2025-09-15 02:32:30,September,29.4,129.5,1178.84,10.0,3.0,M,weak,"RYUKYU ISLANDS, JAPAN",RYUKYU ISLANDS,EMSC
